;Comun_list.1.n.;Resident_w_list;Workers_list;Autflux_list;Autoff_list;Autdom_list
1;1001;1325;931,55;439;0,331320755;0,471257581
2;1002;2119;3022,7;812;0,383199622;0,268634003
3;1003;221;160,17;116;0,524886878;0,724230505
4;1004;879;355,2;170;0,193401593;0,478603604
5;1005;325;92,53;24;0,073846154;0,259375338
6;1006;3336;2689,76;1186;0,355515588;0,440931533
7;1007;105;35,38;23;0,219047619;0,650084794
8;1008;8544;5357,63;2602;0,304541199;0,485662504
9;1009;1055;1761,7;419;0,397156398;0,237838451
10;1010;249;95,54;75;0,301204819;0,785011514
11;1011;379;115,67;73;0,192612137;0,631105732
12;1012;588;404,82;159;0,270408163;0,392767156
13;1013;6462;7457,97;2475;0,383008357;0,331859742
14;1014;692;723,9;212;0,306358382;0,29285813
15;1015;384;365,12;86;0,223958333;0,235539001
16;1016;1610;935,58;482;0,299378882;0,515188439
17;1017;237;224,51;44;0,185654008;0,195982362
18;1018;2089;588,84;412;0,197223552;0,699680728
19;1019;44;42,61;25;0,568181818;0,586716733
20;1020;1587;1360,14;420;0,264650284;0,308791742
21;1021;756;282,61;154;0,203703704;0,544920562
22;1022;1474;1527,3;1097;0,744233379;0,718260983
23;1023;272;373,16;42;0,154411765;0,112552256
24;1024;9349;8559,75;3237;0,34624024;0,37816525
25;1025;1693;873,95;561;0,331364442;0,641913153
26;1026;262;162;114;0,435114504;0,703703704
27;1027;988;814,26;264;0,267206478;0,324220765
28;1028;7801;6270,91;2536;0,325086527;0,404407016
29;1029;253;81,3;28;0,110671937;0,344403444
30;1030;1782;944,67;563;0,315937149;0,595975314
31;1031;360;86;47;0,130555556;0,546511628
32;1032;1079;855,57;303;0,28081557;0,354149865
33;1033;1540;1297,55;549;0,356493506;0,423105083
34;1034;4582;2771,99;1607;0,35072021;0,579727921
35;1035;2293;1742,93;769;0,335368513;0,441211064
36;1036;218;57,19;33;0,151376147;0,577023955
37;1037;230;94,75;26;0,113043478;0,274406332
38;1038;4770;3593,83;1515;0,317610063;0,421555833
39;1039;768;584,2;225;0,29296875;0,385142075
40;1040;761;691,69;193;0,253613666;0,279026732
41;1041;734;659,67;281;0,382833787;0,425970561
42;1042;575;1390,35;178;0,309565217;0,128025317
43;1043;873;1705,47;327;0,374570447;0,191736002
44;1044;2999;2345,42;1115;0,371790597;0,475394599
45;1045;3350;2396,54;931;0,277910448;0,388476721
46;1046;1729;1119,82;585;0,338345865;0,522405387
47;1047;3570;4138,24;1677;0,469747899;0,405244742
48;1048;3308;3072,68;1182;0,357315599;0,384680474
49;1049;701;752,85;252;0,359486448;0,334728033
50;1050;623;446,53;162;0,260032103;0,362797572
51;1051;3206;2281,31;920;0,286961946;0,403277064
52;1052;106;16;11;0,103773585;0,6875
53;1053;1293;426,27;294;0,22737819;0,689703709
54;1054;267;153;110;0,411985019;0,718954248
55;1055;1100;568,05;235;0,213636364;0,413695977
56;1056;460;219,76;135;0,293478261;0,614306516
57;1057;341;265,01;111;0,325513196;0,418852119
58;1058;4649;4205,86;2056;0,442245644;0,488841759
59;1059;14977,25;12686,34;8657,43;0,578038692;0,682421408
60;1060;940;545,15;328;0,34893617;0,601669265
61;1061;740;316,51;128;0,172972973;0,404410603
62;1062;1535;1600,09;484;0,315309446;0,302482985
63;1063;10266;9306,38;3777;0,367913501;0,40585061
64;1064;953;365,78;183;0,192025184;0,500300727
65;1065;1175;461,9;336;0,285957447;0,72743018
66;1066;4963;4164,47;2204;0,444086238;0,529239015
67;1067;189;42,32;28;0,148148148;0,661625709
68;1068;3565;1838,87;1000;0,280504909;0,543812233
69;1069;1086;428,78;237;0,218232044;0,552731004
70;1070;2842;2169,74;1305;0,459183673;0,601454552
71;1071;909;424,68;254;0,279427943;0,598097391
72;1072;432;365,82;171;0,395833333;0,467443005
73;1073;75;60;47;0,626666667;0,783333333
74;1074;443;438,44;298;0,67268623;0,679682511
75;1075;122;79;45;0,368852459;0,569620253
76;1076;809;379,39;163;0,201483313;0,429637049
77;1077;946;365,13;207;0,218816068;0,56692137
78;1078;19544,94;17756,15;10536,67;0,539099634;0,593409607
79;1079;85;20;13;0,152941176;0,65
80;1080;363;238;120;0,330578512;0,504201681
81;1081;843;771,23;243;0,288256228;0,315081104
82;1082;13500,14;14730,74;6791,07;0,503037006;0,4610135
83;1083;196;27;15;0,076530612;0,555555556
84;1084;109;35;9;0,082568807;0,257142857
85;1085;142;70,22;26;0,183098592;0,370264882
86;1086;9601;11416,48;4762;0,495990001;0,417116309
87;1087;93;69;55;0,591397849;0,797101449
88;1088;746;299,96;172;0,230563003;0,573409788
89;1089;1506;607,8;436;0,289508632;0,717341231
90;1090;26335,77;18393,71;8289,64;0,31476733;0,450677976
91;1091;155;172;43;0,277419355;0,25
92;1092;293;691,33;26;0,088737201;0,037608667
93;1093;2152;1402,2;753;0,349907063;0,537013265
94;1094;1570;877,98;513;0,326751592;0,58429577
95;1095;210;189,89;58;0,276190476;0,305439992
96;1096;495;256,8;104;0,21010101;0,404984424
97;1097;4026;2435,54;1540;0,382513661;0,632303309
98;1098;4947;4442,35;2228;0,450373964;0,501536349
99;1099;4562;2985,89;1579;0,346120123;0,528820553
100;1100;125;32,37;13;0,104;0,401606426
101;1101;2776;1481,17;825;0,297190202;0,556992108
102;1102;1134;670,55;310;0,273368607;0,462307061
103;1103;225;220,26;109;0,484444444;0,494869699
104;1104;1422;917,67;425;0,298874824;0,463129447
105;1105;401;94,01;47;0,117206983;0,499946814
106;1106;1218;504,93;344;0,282430213;0,681282554
107;1107;1750;1543,06;847;0,484;0,54890931
108;1108;113;63;51;0,451327434;0,80952381
109;1109;852;392,22;193;0,226525822;0,492070777
110;1110;1434;1288,44;471;0,328451883;0,36555835
111;1111;265;154,58;49;0,18490566;0,316987967
112;1112;4970;2111,6;1424;0,286519115;0,674370146
113;1113;596;360,01;155;0,260067114;0,430543596
114;1114;355;87;65;0,183098592;0,747126437
115;1115;8058;6126,86;4054;0,503102507;0,661676617
116;1116;2131;791,66;476;0,22336931;0,601268221
117;1117;324;67,08;36;0,111111111;0,53667263
118;1118;65;38,1;30;0,461538462;0,787401575
119;1119;548;546,29;142;0,259124088;0,259935199
120;1120;19619,47;25225,47;6937;0,353577339;0,274999832
121;1121;12;7;2;0,166666667;0,285714286
122;1122;355;150,32;54;0,152112676;0,359233635
123;1123;211;51,65;25;0,118483412;0,484027106
124;1124;188;28;20;0,106382979;0,714285714
125;1125;11365,03;21218,21;7351,9;0,646887866;0,346490114
126;1126;986;435,83;216;0,219066937;0,495606085
